metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.45260524101827193,0.42022449107737564,-0.03238074994089629,-7.154302912632217,-0.03617215533728449,-0.028589344544508122,paired,200
MC,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.45260524101827193,0.39497190596403703,-0.0576333350542349,-12.733687070121269,-0.06123200342849132,-0.05403466667997832,paired,200
MC,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.45260524101827193,0.39092156757620006,-0.061683673442071874,-13.62858134459421,-0.06524808952701916,-0.05811925735712466,paired,200
IPC,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.37972145754944464,0.35743837362162734,-0.022283083927817304,-5.868270935127694,-0.026600823788003165,-0.01796534406763136,paired,200
IPC,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.37972145754944464,0.3178806117868698,-0.061840845762574814,-16.285844408601097,-0.06563264848349173,-0.058049043041657956,paired,200
IPC,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.37972145754944464,0.31971081848803923,-0.06001063906140541,-15.803857766871458,-0.06350186984121528,-0.0565194082815956,paired,200
KR,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.5385835444108019,0.4757002677777731,-0.06288327663302884,-11.675677299391259,-0.07010475937316243,-0.05566179389289505,paired,200
KR,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.5385835444108019,0.4263363226348227,-0.11224722177597923,-20.841190366997775,-0.11914081954576573,-0.10535362400619254,paired,200
KR,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.5385835444108019,0.4253897074852248,-0.11319383692557711,-21.016950499185523,-0.11996402725891687,-0.10642364659223728,paired,200
GR,local_sign+binary,Sign-pres. pm1,binary+shuffle,pm1 + conn. shuf.,0.5206854532759029,0.48326711625266583,-0.03741833702323705,-7.186361129894994,-0.04815432160534665,-0.026682352441127478,paired,200
GR,local_sign+binary,Sign-pres. pm1,global_sign_pres,pm1 + wt. shuf.,0.5206854532759029,0.4158546830827507,-0.10483077019315218,-20.13322429762677,-0.11484658746718168,-0.09481495291912273,paired,200
GR,local_sign+binary,Sign-pres. pm1,binary+conshuffle+wshuffle,pm1 sign/conn/wt shuf.,0.5206854532759029,0.4245585813317197,-0.09612687194418318,-18.461601210365885,-0.10624229698418064,-0.08601144690418572,paired,200
