metric,baseline_mode,baseline_label,control_mode,control_label,baseline_mean_cv,control_mean_cv,delta_cv,pct_delta_cv,ci95_low,ci95_high,comparison_type,n
MC,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.4088194794380252,0.49832312372005816,0.08950364428203295,21.893194621026172,0.08374382896845023,0.09526345959561563,paired,200
MC,real,C. elegans,conn_shuf_only,Conn. shuffle,0.4088194794380252,0.4974315368479062,0.08861205740988098,21.67510646305054,0.08306831591135758,0.09415579890840436,paired,200
MC,real,C. elegans,shuffle,Wt. shuffle,0.4088194794380252,0.48948917063045877,0.08066969119243356,19.73235015692608,0.07486336423081197,0.08647601815405503,paired,200
IPC,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.2995417066518406,0.40491005614803766,0.10536834949619706,35.17652038307554,0.10110283470580211,0.10963386428659194,paired,200
IPC,real,C. elegans,conn_shuf_only,Conn. shuffle,0.2995417066518406,0.39484027469039246,0.09529856803855186,31.81479103653437,0.09113918635830827,0.0994579497187953,paired,200
IPC,real,C. elegans,shuffle,Wt. shuffle,0.2995417066518406,0.3935399036541407,0.09399819700230011,31.380670843127323,0.08921264276127444,0.0987837512433257,paired,200
KR,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.39797317555378625,0.5919567873826563,0.19398361182887008,48.74288614023764,0.1881780036224101,0.19978922003533006,paired,200
KR,real,C. elegans,conn_shuf_only,Conn. shuffle,0.39797317555378625,0.6069429673315295,0.20896979177774327,52.50851178272464,0.20287855886113698,0.21506102469434957,paired,200
KR,real,C. elegans,shuffle,Wt. shuffle,0.39797317555378625,0.5700173106593427,0.17204413510555644,43.23008325024775,0.16599588620287808,0.17809238400823485,paired,200
GR,real,C. elegans,celW+connShuf,Conn. + wt. shuf.,0.3470078734745009,0.6444019913075911,0.2973941178330902,85.70241212551149,0.289349265876445,0.30543896978973545,paired,200
GR,real,C. elegans,conn_shuf_only,Conn. shuffle,0.3470078734745009,0.6596134635680798,0.3126055900935789,90.08602224599092,0.3034486154987935,0.32176256468836434,paired,200
GR,real,C. elegans,shuffle,Wt. shuffle,0.3470078734745009,0.6246082459701436,0.27760037249564273,79.99829217593864,0.2696604440293844,0.2855403009619012,paired,200
